Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2016-01-14 14:20:01.418000,66611.0,39178.0,21160.0,13209.0,12231.0,10305.0,6395.0,10753.0,30,29,0
2016-01-14 14:20:02.423000,294470.0,56697.0,11885.0,4984.0,3041.0,6493.0,1619.0,1580.0,35,23,0
2016-01-14 14:20:03.419000,13910.0,51092.0,5213.0,12806.0,8810.0,9341.0,10905.0,3562.0,38,34,0
2016-01-14 14:20:04.402000,809260.0,73515.0,22109.0,20609.0,6979.0,28250.0,23379.0,5508.0,64,47,0
2016-01-14 14:20:05.405000,892851.0,155971.0,49485.0,13738.0,33550.0,21511.0,13558.0,9115.0,60,40,0
2016-01-14 14:20:06.415000,193568.0,17844.0,4980.0,15421.0,7242.0,9904.0,6080.0,3440.0,70,50,0
2016-01-14 14:20:07.400000,55955.0,10914.0,5796.0,39275.0,23029.0,20781.0,13193.0,12091.0,81,64,0
2016-01-14 14:20:08.402000,746403.0,81990.0,17605.0,15473.0,19032.0,15939.0,12362.0,3938.0,77,61,0
2016-01-14 14:20:09.398000,1035767.0,405174.0,45891.0,21688.0,10576.0,45104.0,21878.0,39552.0,77,51,0
2016-01-14 14:20:10.381000,282721.0,34191.0,46558.0,26726.0,16702.0,20946.0,24085.0,9131.0,74,60,0
2016-01-14 14:20:11.378000,316460.0,182577.0,53109.0,20672.0,24456.0,22725.0,11915.0,5966.0,57,47,0
2016-01-14 14:20:12.383000,94187.0,36167.0,2188.0,4199.0,2861.0,1523.0,1177.0,970.0,43,40,0
2016-01-14 14:20:13.366000,663448.0,101833.0,38247.0,94981.0,62574.0,20108.0,18067.0,9308.0,41,60,0
2016-01-14 14:20:14.374000,38757.0,54385.0,20670.0,7931.0,13027.0,41600.0,30381.0,12097.0,51,43,0
2016-01-14 14:20:15.380000,213761.0,24800.0,18347.0,70254.0,15108.0,13089.0,8507.0,6726.0,54,63,0
2016-01-14 14:20:16.363000,1734253.0,423337.0,59609.0,31285.0,82514.0,55266.0,22966.0,12121.0,66,63,0
2016-01-14 14:20:17.362000,473490.0,95838.0,87866.0,64665.0,92411.0,32770.0,22510.0,4875.0,70,63,0
2016-01-14 14:20:18.362000,2279624.0,89664.0,9381.0,52193.0,71832.0,39053.0,9312.0,3427.0,64,66,0
2016-01-14 14:20:19.359000,129618.0,25269.0,3867.0,5900.0,2581.0,2074.0,1072.0,618.0,57,44,0
2016-01-14 14:20:20.354000,136387.0,69756.0,27420.0,12652.0,4691.0,3917.0,3179.0,1140.0,48,60,0
2016-01-14 14:20:21.325000,69365.0,64916.0,29932.0,33235.0,16934.0,12239.0,5938.0,4883.0,43,60,0
2016-01-14 14:20:22.342000,1431757.0,392932.0,196517.0,57199.0,74468.0,60204.0,14914.0,16454.0,34,63,0
2016-01-14 14:20:23.340000,598760.0,315140.0,88936.0,36226.0,102331.0,71866.0,5666.0,5117.0,43,61,0
2016-01-14 14:20:24.319000,189450.0,52631.0,7429.0,8002.0,12234.0,4430.0,3097.0,1207.0,48,51,0
2016-01-14 14:20:25.331000,807757.0,30095.0,12114.0,18737.0,19283.0,11855.0,4617.0,3412.0,56,48,0
2016-01-14 14:20:26.315000,438197.0,63742.0,3268.0,33521.0,22081.0,48187.0,19951.0,5320.0,74,41,0
2016-01-14 14:20:27.311000,784459.0,96737.0,7428.0,22799.0,22844.0,10631.0,14344.0,4391.0,66,38,0
