Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2015-11-26 17:25:47.631000,68209.0,121599.0,37543.0,20725.0,19054.0,9245.0,8652.0,4602.0,54,34,0
2015-11-26 17:25:48.632000,43201.0,49105.0,11855.0,6693.0,12652.0,9428.0,3060.0,3680.0,48,34,0
2015-11-26 17:25:49.624000,294413.0,19621.0,17090.0,20391.0,16134.0,11766.0,8843.0,9042.0,57,40,0
2015-11-26 17:25:50.609000,117995.0,15935.0,20331.0,10513.0,9669.0,5268.0,3278.0,3821.0,47,51,0
2015-11-26 17:25:51.606000,29558.0,87771.0,64256.0,10220.0,10393.0,5707.0,2322.0,3038.0,43,57,0
2015-11-26 17:25:52.602000,35928.0,52581.0,19914.0,32245.0,14063.0,10883.0,4229.0,2347.0,40,64,0
2015-11-26 17:25:53.603000,967248.0,109448.0,30047.0,34408.0,152440.0,25600.0,17555.0,26499.0,37,53,0
2015-11-26 17:25:54.585000,325155.0,261985.0,55864.0,53124.0,68558.0,17150.0,27291.0,12957.0,27,43,0
2015-11-26 17:25:55.579000,244266.0,38413.0,29500.0,15087.0,6425.0,4746.0,4230.0,2617.0,34,44,0
2015-11-26 17:25:56.578000,20660.0,48123.0,13651.0,7384.0,4292.0,4417.0,4098.0,6237.0,27,40,0
2015-11-26 17:25:57.581000,1996384.0,212751.0,54096.0,19205.0,19948.0,10611.0,4096.0,3152.0,14,41,0
2015-11-26 17:25:58.559000,335005.0,26457.0,248.0,3182.0,999.0,4011.0,1307.0,813.0,24,30,0
2015-11-26 17:25:59.559000,38921.0,43715.0,7196.0,17634.0,2174.0,10387.0,3927.0,3575.0,34,26,0
2015-11-26 17:26:00.565000,1579165.0,1723753.0,552006.0,255663.0,107019.0,209332.0,123317.0,70971.0,37,26,0
2015-11-26 17:26:01.545000,848522.0,122039.0,88411.0,35701.0,33920.0,31292.0,11657.0,18475.0,48,35,0
2015-11-26 17:26:02.543000,1124447.0,49149.0,5103.0,11619.0,5119.0,6742.0,8630.0,4971.0,44,43,0
2015-11-26 17:26:03.526000,336174.0,167904.0,3469.0,22413.0,47823.0,16378.0,15079.0,8134.0,40,29,0
2015-11-26 17:26:04.502000,1421388.0,714387.0,419809.0,68971.0,294342.0,153621.0,51141.0,95020.0,43,30,0
