Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2016-03-11 15:53:41.797000,227105.0,82283.0,15961.0,55606.0,8561.0,25678.0,9373.0,6459.0,37,66,0
2016-03-11 15:53:42.840000,484367.0,43436.0,8174.0,907.0,4406.0,3172.0,3587.0,1279.0,35,53,0
2016-03-11 15:53:43.804000,35132.0,19755.0,1768.0,11848.0,1182.0,20367.0,8397.0,3104.0,57,61,0
2016-03-11 15:53:44.802000,18060.0,29394.0,52556.0,6490.0,3589.0,6537.0,5428.0,2591.0,56,64,0
2016-03-11 15:53:45.789000,98718.0,11147.0,1722.0,3657.0,1737.0,2222.0,816.0,500.0,53,60,0
2016-03-11 15:53:46.790000,24473.0,29116.0,29243.0,57708.0,6363.0,4481.0,5284.0,4288.0,50,84,0
2016-03-11 15:53:47.784000,69710.0,59431.0,44673.0,44207.0,23418.0,10093.0,9477.0,2434.0,29,94,0
2016-03-11 15:53:48.780000,30304.0,24832.0,31036.0,14952.0,8618.0,8083.0,3418.0,4830.0,35,91,0
2016-03-11 15:53:49.787000,32993.0,24966.0,39608.0,17148.0,16430.0,10333.0,5174.0,2379.0,35,100,0
2016-03-11 15:53:50.778000,24756.0,11837.0,32811.0,13237.0,6883.0,7578.0,3333.0,2572.0,44,100,0
2016-03-11 15:53:51.759000,32232.0,24307.0,72444.0,19843.0,10009.0,10173.0,4186.0,4110.0,48,100,0
2016-03-11 15:53:52.776000,23976.0,38935.0,27805.0,16632.0,25711.0,12674.0,5108.0,1513.0,50,100,0
2016-03-11 15:53:53.746000,83208.0,36649.0,25650.0,23567.0,5783.0,9301.0,12901.0,5419.0,48,100,0
2016-03-11 15:53:54.749000,56632.0,67071.0,29117.0,35355.0,11369.0,9874.0,8073.0,5162.0,43,93,0
2016-03-11 15:53:55.764000,490150.0,194802.0,46844.0,13915.0,24642.0,27084.0,10335.0,8912.0,47,69,0
2016-03-11 15:53:56.749000,60459.0,29114.0,13053.0,10402.0,12377.0,15704.0,3665.0,4887.0,53,67,0
2016-03-11 15:53:57.743000,326871.0,4687.0,10544.0,11535.0,6405.0,6466.0,1291.0,1518.0,57,69,0
2016-03-11 15:53:58.724000,62002.0,46789.0,18947.0,20817.0,14926.0,11166.0,6793.0,8330.0,63,66,0
2016-03-11 15:53:59.727000,41628.0,32826.0,1866.0,12524.0,6480.0,12044.0,11631.0,6582.0,70,67,0
2016-03-11 15:54:00.764000,199836.0,30380.0,66628.0,36881.0,15315.0,7585.0,3987.0,4822.0,54,83,0
2016-03-11 15:54:01.706000,33207.0,42806.0,25772.0,23821.0,6134.0,4220.0,5653.0,4746.0,41,81,0
2016-03-11 15:54:02.708000,82806.0,79484.0,71367.0,42074.0,23537.0,16438.0,5650.0,7686.0,40,87,0
2016-03-11 15:54:03.724000,56124.0,9823.0,7329.0,28608.0,15933.0,5819.0,6650.0,5465.0,34,100,0
2016-03-11 15:54:04.708000,29572.0,29859.0,58824.0,10795.0,11162.0,11671.0,5399.0,4726.0,40,97,0
2016-03-11 15:54:05.693000,21087.0,12107.0,8364.0,16969.0,11624.0,7737.0,8601.0,5196.0,53,94,0
2016-03-11 15:54:06.712000,423474.0,175370.0,20107.0,12216.0,6900.0,7442.0,8646.0,5913.0,44,78,0
2016-03-11 15:54:07.688000,12094.0,58850.0,38204.0,33400.0,9794.0,7935.0,3532.0,6976.0,38,77,0
2016-03-11 15:54:08.700000,376379.0,113023.0,25502.0,16406.0,23694.0,22478.0,8536.0,13705.0,40,60,0
2016-03-11 15:54:09.703000,29908.0,249253.0,27840.0,115265.0,52204.0,20283.0,9172.0,3071.0,27,54,0
2016-03-11 15:54:10.680000,1048324.0,91424.0,20859.0,9541.0,8127.0,3689.0,4219.0,1962.0,26,60,0
2016-03-11 15:54:11.682000,39942.0,144823.0,14409.0,83529.0,19206.0,10458.0,7343.0,7183.0,23,54,0
2016-03-11 15:54:12.672000,42265.0,166849.0,34677.0,21509.0,10498.0,14519.0,2743.0,4678.0,17,54,0
2016-03-11 15:54:13.665000,33014.0,25337.0,8459.0,14243.0,8009.0,19140.0,4685.0,6469.0,37,54,0
2016-03-11 15:54:14.675000,616005.0,47395.0,4764.0,25923.0,13506.0,6581.0,8867.0,1606.0,43,57,0
2016-03-11 15:54:15.662000,201216.0,73097.0,6094.0,11832.0,3640.0,7492.0,2902.0,2363.0,48,50,0
2016-03-11 15:54:16.650000,1063579.0,80116.0,30799.0,18251.0,10239.0,9109.0,4626.0,2203.0,48,53,0
2016-03-11 15:54:17.655000,355597.0,58660.0,10589.0,8187.0,33673.0,9708.0,5991.0,2329.0,38,44,0
2016-03-11 15:54:18.636000,429168.0,90867.0,11828.0,8797.0,19224.0,10649.0,4731.0,5607.0,40,37,0
2016-03-11 15:54:19.636000,84765.0,52751.0,5003.0,16715.0,21300.0,22863.0,9717.0,5943.0,51,37,0
