Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2015-11-26 17:27:17.021000,394291.0,427147.0,94303.0,48852.0,51585.0,24253.0,8823.0,11774.0,38,24,0
2015-11-26 17:27:18.016000,644163.0,565873.0,226779.0,55965.0,68149.0,46694.0,53490.0,33128.0,30,29,0
2015-11-26 17:27:19.015000,327402.0,23354.0,7843.0,3723.0,12900.0,12224.0,8111.0,4152.0,44,38,0
2015-11-26 17:27:20.013000,76014.0,14664.0,16990.0,22095.0,9182.0,15751.0,5495.0,3327.0,57,38,0
2015-11-26 17:27:20.992000,2476.0,6883.0,5513.0,17538.0,5954.0,8955.0,3320.0,2107.0,78,50,0
2015-11-26 17:27:21.976000,10693.0,34420.0,7727.0,13331.0,18036.0,10124.0,3112.0,3287.0,88,48,0
2015-11-26 17:27:22.979000,11459.0,14038.0,8677.0,6606.0,4543.0,11029.0,2210.0,2280.0,90,54,0
2015-11-26 17:27:23.959000,34741.0,36261.0,31175.0,2527.0,7483.0,13200.0,3198.0,2621.0,84,51,0
2015-11-26 17:27:24.972000,898516.0,130576.0,17309.0,19531.0,24720.0,7447.0,5977.0,1082.0,66,38,0
2015-11-26 17:27:25.968000,75082.0,17021.0,4632.0,2519.0,2756.0,645.0,496.0,344.0,48,38,0
2015-11-26 17:27:26.952000,939813.0,149421.0,27695.0,41591.0,11411.0,26721.0,11772.0,18231.0,38,37,0
2015-11-26 17:27:27.952000,280960.0,215073.0,15360.0,12829.0,41824.0,27222.0,21490.0,7385.0,35,20,0
2015-11-26 17:27:28.950000,137891.0,169380.0,14496.0,12141.0,3540.0,8204.0,6811.0,12234.0,35,16,0
2015-11-26 17:27:29.930000,299415.0,273226.0,11752.0,11683.0,23370.0,21412.0,17541.0,8852.0,43,1,0
2015-11-26 17:27:30.915000,84419.0,80867.0,33205.0,3881.0,3736.0,16408.0,21497.0,11624.0,44,1,0
2015-11-26 17:27:31.898000,362791.0,69183.0,27509.0,10900.0,19957.0,10953.0,6611.0,5451.0,43,13,0
2015-11-26 17:27:32.899000,442300.0,56438.0,41449.0,16905.0,8284.0,12106.0,15658.0,8543.0,50,27,0
2015-11-26 17:27:33.912000,605237.0,111289.0,4699.0,19520.0,15331.0,8512.0,7698.0,3533.0,50,35,0
2015-11-26 17:27:34.881000,11311.0,52143.0,5910.0,18461.0,6876.0,5095.0,4939.0,2548.0,41,35,0
2015-11-26 17:27:35.904000,342420.0,21242.0,21486.0,8490.0,4076.0,7143.0,2436.0,2087.0,44,41,0
2015-11-26 17:27:36.890000,371472.0,144251.0,7198.0,25842.0,23915.0,15505.0,8685.0,2473.0,44,29,0
2015-11-26 17:27:37.876000,1353824.0,143691.0,43659.0,20277.0,6839.0,35444.0,41464.0,9071.0,54,37,0
