Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2015-11-26 17:08:00.018000,127407.0,25056.0,5871.0,10350.0,6804.0,11438.0,6822.0,9032.0,94,38,0
2015-11-26 17:08:01.020000,17419.0,11714.0,4484.0,8415.0,2072.0,2612.0,3184.0,2468.0,90,41,0
2015-11-26 17:08:02.020000,7816.0,5992.0,13918.0,24406.0,9254.0,4765.0,7230.0,5626.0,83,67,0
2015-11-26 17:08:03,37105.0,45146.0,22754.0,22069.0,16320.0,6956.0,7951.0,3199.0,66,81,0
2015-11-26 17:08:04.011000,46318.0,23635.0,2003.0,19493.0,22024.0,20649.0,16505.0,6315.0,74,80,0
2015-11-26 17:08:05.011000,1109371.0,205715.0,33007.0,65055.0,37690.0,15394.0,15922.0,4778.0,64,74,0
2015-11-26 17:08:05.983000,19914.0,19118.0,62215.0,2345.0,7510.0,5784.0,5651.0,2877.0,57,74,0
2015-11-26 17:08:06.978000,16483.0,21006.0,22151.0,9519.0,3052.0,13203.0,6808.0,5461.0,74,77,0
2015-11-26 17:08:07.978000,79911.0,37784.0,46620.0,7460.0,13053.0,9418.0,8498.0,3616.0,54,88,0
2015-11-26 17:08:08.962000,257294.0,223301.0,41562.0,5214.0,64188.0,4842.0,4712.0,6237.0,40,80,0
2015-11-26 17:08:09.962000,79275.0,51837.0,12307.0,29785.0,7392.0,19332.0,5563.0,2245.0,54,66,0
2015-11-26 17:08:10.964000,97564.0,12355.0,16109.0,4428.0,5483.0,4135.0,1674.0,442.0,44,67,0
2015-11-26 17:08:11.946000,16746.0,15780.0,1000.0,7028.0,5909.0,6394.0,2582.0,1825.0,57,56,0
2015-11-26 17:08:12.948000,304991.0,59693.0,37364.0,21288.0,27341.0,2676.0,3206.0,3752.0,60,70,0
2015-11-26 17:08:13.942000,23983.0,17643.0,7571.0,2208.0,8605.0,4552.0,2263.0,1452.0,56,64,0
2015-11-26 17:08:14.926000,52262.0,27302.0,7635.0,54435.0,13417.0,4037.0,5470.0,2888.0,44,69,0
2015-11-26 17:08:15.923000,445735.0,105844.0,6837.0,17271.0,15974.0,12883.0,3767.0,8675.0,30,63,0
2015-11-26 17:08:16.916000,40140.0,50531.0,5645.0,16822.0,32057.0,11780.0,9751.0,4987.0,56,53,0
2015-11-26 17:08:17.902000,83694.0,112520.0,12430.0,35053.0,54711.0,11492.0,11588.0,4802.0,47,51,0
