Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2016-03-11 16:10:18.108000,72682.0,27657.0,25527.0,27951.0,5943.0,5207.0,5271.0,4229.0,84,87,0
2016-03-11 16:10:19.079000,1755074.0,181593.0,100278.0,71693.0,36508.0,26386.0,13852.0,14613.0,83,80,0
2016-03-11 16:10:20.076000,112754.0,60911.0,5954.0,2899.0,28855.0,8341.0,8564.0,1716.0,75,69,0
2016-03-11 16:10:21.074000,14207.0,27186.0,24009.0,20120.0,6560.0,8148.0,10921.0,4425.0,60,80,0
2016-03-11 16:10:22.057000,349729.0,105494.0,5998.0,8648.0,8553.0,17514.0,3688.0,3450.0,69,47,0
2016-03-11 16:10:23.076000,17995.0,30018.0,13606.0,2743.0,1721.0,3369.0,1246.0,3357.0,69,41,0
2016-03-11 16:10:24.079000,22018.0,5017.0,8351.0,13978.0,12732.0,10169.0,3913.0,6797.0,83,67,0
2016-03-11 16:10:25.049000,37390.0,19703.0,27358.0,14808.0,6103.0,9079.0,5115.0,6369.0,84,69,0
2016-03-11 16:10:26.049000,327653.0,117839.0,32902.0,6786.0,17448.0,19093.0,4004.0,9736.0,83,81,0
2016-03-11 16:10:27.059000,122649.0,17485.0,7571.0,16232.0,6655.0,6042.0,3157.0,6057.0,90,88,0
2016-03-11 16:10:28.040000,9378.0,12024.0,37248.0,13691.0,17138.0,6660.0,10922.0,3111.0,75,94,0
2016-03-11 16:10:29.038000,25531.0,7698.0,17489.0,9605.0,5832.0,8449.0,9960.0,6023.0,81,96,0
2016-03-11 16:10:30.043000,36379.0,5640.0,45871.0,10492.0,14206.0,14992.0,5513.0,2344.0,90,100,0
2016-03-11 16:10:31.036000,262154.0,40765.0,9085.0,31001.0,16714.0,14398.0,13391.0,7176.0,94,100,0
2016-03-11 16:10:32.034000,125470.0,145215.0,20314.0,9918.0,19079.0,12753.0,10068.0,5524.0,90,90,0
2016-03-11 16:10:33.025000,48395.0,43595.0,8449.0,6866.0,6366.0,3674.0,1270.0,1716.0,74,69,0
2016-03-11 16:10:34.013000,1589619.0,486823.0,19799.0,56890.0,96943.0,30641.0,24966.0,13648.0,53,38,0
2016-03-11 16:10:35.017000,128096.0,39381.0,1443.0,10454.0,5650.0,4196.0,4460.0,5546.0,44,26,0
2016-03-11 16:10:36.011000,18556.0,14143.0,6110.0,13258.0,12511.0,20471.0,12190.0,10134.0,64,38,0
2016-03-11 16:10:36.995000,14052.0,12519.0,6539.0,3539.0,3704.0,22084.0,18621.0,9109.0,88,37,0
2016-03-11 16:10:37.998000,33916.0,11551.0,17118.0,14473.0,11344.0,11137.0,7382.0,8408.0,100,61,0
2016-03-11 16:10:39,121915.0,13666.0,5297.0,6926.0,17509.0,11121.0,10785.0,5334.0,100,63,0
2016-03-11 16:10:39.996000,189397.0,6089.0,17733.0,11968.0,9497.0,14055.0,17586.0,8654.0,100,75,0
2016-03-11 16:10:40.990000,173385.0,52763.0,20734.0,2108.0,7978.0,3660.0,2609.0,2521.0,74,80,0
2016-03-11 16:10:41.980000,1226362.0,401945.0,75257.0,19046.0,29410.0,24873.0,25288.0,11700.0,56,60,0
2016-03-11 16:10:42.975000,15486.0,5365.0,5709.0,4998.0,15287.0,11910.0,8676.0,8925.0,61,63,0
2016-03-11 16:10:43.982000,362053.0,67295.0,59717.0,31278.0,19747.0,15743.0,12700.0,4919.0,48,61,0
2016-03-11 16:10:44.982000,406481.0,121589.0,1968.0,14882.0,7518.0,5735.0,3527.0,3732.0,47,48,0
2016-03-11 16:10:45.961000,931787.0,161876.0,998.0,2339.0,2625.0,4688.0,6745.0,3329.0,41,30,0
2016-03-11 16:10:46.961000,427378.0,23451.0,1784.0,3519.0,6014.0,2579.0,1799.0,2517.0,20,29,0
2016-03-11 16:10:47.944000,2293.0,7357.0,6735.0,3269.0,1917.0,18196.0,5436.0,3933.0,43,23,0
2016-03-11 16:10:48.952000,476727.0,5910.0,55594.0,6574.0,11927.0,8102.0,4894.0,1257.0,53,54,0
2016-03-11 16:10:49.956000,855914.0,206596.0,228533.0,141841.0,135941.0,54729.0,40525.0,12642.0,64,88,0
2016-03-11 16:10:50.941000,876845.0,309554.0,14701.0,28410.0,7384.0,7228.0,4860.0,8137.0,51,83,0
2016-03-11 16:10:51.943000,394146.0,94930.0,15137.0,31135.0,6333.0,20135.0,18480.0,22533.0,30,81,0
2016-03-11 16:10:52.920000,1653504.0,515967.0,36909.0,109141.0,58468.0,24796.0,42460.0,25703.0,20,60,0
2016-03-11 16:10:53.944000,18861.0,4060.0,11313.0,4019.0,11301.0,12782.0,8049.0,7971.0,40,56,0
2016-03-11 16:10:54.935000,39006.0,136568.0,4963.0,16648.0,6844.0,16910.0,10204.0,8896.0,56,56,0
2016-03-11 16:10:55.911000,447603.0,32091.0,5928.0,4815.0,3288.0,2864.0,625.0,554.0,50,53,0
2016-03-11 16:10:56.911000,174599.0,25810.0,18829.0,13172.0,12661.0,10377.0,9970.0,7289.0,64,63,0
2016-03-11 16:10:57.927000,321066.0,108240.0,37365.0,21750.0,23193.0,26938.0,23182.0,6298.0,51,60,0
2016-03-11 16:10:58.894000,22953.0,14076.0,10028.0,21995.0,10278.0,17321.0,6553.0,14098.0,63,75,0
2016-03-11 16:10:59.907000,13522.0,14033.0,5170.0,22829.0,6405.0,10712.0,4325.0,4861.0,77,84,0
2016-03-11 16:11:00.900000,367390.0,394866.0,141764.0,82652.0,39750.0,78300.0,55214.0,44197.0,74,80,0
2016-03-11 16:11:01.891000,1400926.0,440921.0,173303.0,30919.0,28099.0,24427.0,120657.0,49887.0,57,80,0
2016-03-11 16:11:02.897000,68389.0,83232.0,11019.0,68661.0,14384.0,18973.0,3829.0,4918.0,47,78,0
2016-03-11 16:11:03.897000,9187.0,5398.0,3541.0,6826.0,10329.0,14974.0,2930.0,4879.0,60,69,0
2016-03-11 16:11:04.870000,25018.0,9286.0,24180.0,5499.0,17401.0,11061.0,4281.0,4202.0,67,77,0
2016-03-11 16:11:05.885000,78521.0,95823.0,19156.0,30560.0,8430.0,5932.0,6093.0,4023.0,67,78,0
2016-03-11 16:11:06.872000,1189625.0,231639.0,219475.0,82397.0,41080.0,52629.0,88573.0,49418.0,64,81,0
2016-03-11 16:11:07.872000,578353.0,161986.0,6209.0,4565.0,16919.0,5430.0,13733.0,6062.0,30,66,0
2016-03-11 16:11:08.867000,82285.0,11147.0,15043.0,7963.0,13719.0,25340.0,9900.0,11230.0,40,61,0
2016-03-11 16:11:09.859000,149663.0,142922.0,61756.0,67683.0,18348.0,15610.0,9064.0,8538.0,43,66,0
2016-03-11 16:11:10.842000,143741.0,131393.0,7116.0,7310.0,9540.0,3168.0,3805.0,8350.0,29,47,0
2016-03-11 16:11:11.850000,499801.0,134652.0,39124.0,17105.0,12400.0,12593.0,13297.0,11614.0,38,61,0
2016-03-11 16:11:12.837000,1033589.0,112186.0,49930.0,22661.0,63147.0,49166.0,24018.0,24656.0,27,57,0
2016-03-11 16:11:13.847000,284778.0,109829.0,11054.0,14477.0,6634.0,13710.0,7397.0,4338.0,34,47,0
2016-03-11 16:11:14.847000,2372314.0,697830.0,143045.0,106695.0,208869.0,79388.0,61196.0,24221.0,47,54,0
2016-03-11 16:11:15.841000,1015133.0,71080.0,8401.0,5878.0,4337.0,5376.0,4921.0,1990.0,44,48,0
2016-03-11 16:11:16.831000,69181.0,15732.0,3245.0,6483.0,4035.0,3769.0,5710.0,5169.0,40,50,0
2016-03-11 16:11:17.821000,8913.0,8773.0,1783.0,9913.0,2097.0,10668.0,12530.0,19464.0,56,60,0
2016-03-11 16:11:18.819000,306867.0,10079.0,31192.0,3766.0,1397.0,6368.0,2174.0,2118.0,63,77,0
2016-03-11 16:11:19.816000,167485.0,122176.0,16153.0,19699.0,5846.0,10547.0,16535.0,18619.0,64,80,0
2016-03-11 16:11:20.817000,46772.0,21175.0,20502.0,45887.0,7854.0,35162.0,24224.0,8047.0,75,88,0
2016-03-11 16:11:21.800000,12933.0,4826.0,8291.0,68955.0,10318.0,13305.0,12197.0,9566.0,61,100,0
2016-03-11 16:11:22.798000,96706.0,99511.0,28046.0,27764.0,15220.0,5790.0,24220.0,11824.0,48,90,0
2016-03-11 16:11:23.804000,815121.0,101321.0,19056.0,14895.0,10788.0,14881.0,11991.0,1683.0,51,90,0
2016-03-11 16:11:24.786000,501756.0,649694.0,134914.0,18018.0,78779.0,55483.0,33894.0,8529.0,34,77,0
2016-03-11 16:11:25.796000,1017832.0,110882.0,42654.0,29775.0,15788.0,20508.0,15119.0,10341.0,30,61,0
