Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2015-12-17 15:50:50.677000,81860.0,27587.0,1310.0,3984.0,4991.0,7295.0,4113.0,2831.0,40,23,0
2015-12-17 15:50:51.702000,909287.0,190359.0,115415.0,23137.0,29686.0,22737.0,19178.0,10200.0,35,37,0
2015-12-17 15:50:52.656000,590486.0,57614.0,3118.0,13522.0,7501.0,22339.0,24055.0,4666.0,56,37,0
2015-12-17 15:50:53.662000,748696.0,19445.0,6330.0,4390.0,3740.0,3586.0,3491.0,1088.0,48,41,0
2015-12-17 15:50:54.662000,1914558.0,41524.0,15959.0,17415.0,39474.0,21914.0,43265.0,22644.0,51,53,0
2015-12-17 15:50:55.656000,1218385.0,124887.0,54221.0,38425.0,11890.0,25714.0,36725.0,8151.0,56,53,0
2015-12-17 15:50:56.656000,2207417.0,170929.0,13651.0,12442.0,6623.0,10645.0,13909.0,27156.0,38,48,0
2015-12-17 15:50:57.661000,127458.0,64192.0,13973.0,6188.0,2790.0,4721.0,6369.0,2855.0,29,43,0
2015-12-17 15:50:58.642000,86918.0,31760.0,20100.0,2419.0,11489.0,6456.0,6750.0,1543.0,20,47,0
2015-12-17 15:50:59.644000,67613.0,17963.0,3566.0,5396.0,3783.0,2421.0,6817.0,3739.0,16,40,0
2015-12-17 15:51:00.676000,269377.0,186565.0,55360.0,27107.0,26434.0,40060.0,19587.0,16865.0,26,51,0
2015-12-17 15:51:01.629000,684075.0,170321.0,5867.0,25054.0,9219.0,19689.0,25873.0,5691.0,34,44,0
2015-12-17 15:51:02.628000,201606.0,66637.0,3162.0,9179.0,3536.0,9605.0,5725.0,4576.0,35,34,0
2015-12-17 15:51:03.602000,1604620.0,148575.0,31264.0,58666.0,43418.0,30249.0,35102.0,12164.0,38,34,0
2015-12-17 15:51:04.617000,351118.0,308211.0,129294.0,27270.0,46476.0,34366.0,63471.0,32476.0,30,37,0
2015-12-17 15:51:05.617000,1070642.0,115056.0,235626.0,72102.0,110984.0,56910.0,39605.0,28891.0,35,60,0
2015-12-17 15:51:06.602000,169617.0,37434.0,9767.0,12764.0,9111.0,6230.0,11722.0,2732.0,34,74,0
2015-12-17 15:51:07.612000,1677536.0,154958.0,27672.0,29384.0,35252.0,12007.0,34302.0,12092.0,24,67,0
2015-12-17 15:51:08.608000,1060407.0,25305.0,4451.0,8278.0,7837.0,3437.0,3656.0,8473.0,26,66,0
2015-12-17 15:51:09.599000,1245736.0,543239.0,35420.0,79522.0,82243.0,29486.0,34126.0,16702.0,13,44,0
2015-12-17 15:51:10.573000,131388.0,32524.0,18041.0,3718.0,4806.0,2233.0,3414.0,4556.0,3,47,0
2015-12-17 15:51:11.589000,874367.0,166524.0,22154.0,12083.0,24913.0,9040.0,20113.0,9257.0,1,41,0
2015-12-17 15:51:12.570000,2550530.0,237519.0,115123.0,39306.0,13846.0,17001.0,28971.0,40491.0,1,47,0
2015-12-17 15:51:13.580000,122151.0,48746.0,5052.0,954.0,2853.0,2427.0,1408.0,2019.0,1,40,0
2015-12-17 15:51:14.577000,538175.0,203164.0,52118.0,35628.0,43376.0,53076.0,23103.0,16048.0,10,29,0
2015-12-17 15:51:15.553000,549784.0,109772.0,37676.0,11295.0,10037.0,8654.0,8818.0,6037.0,13,40,0
2015-12-17 15:51:16.566000,176213.0,29998.0,2864.0,7605.0,1787.0,2512.0,2629.0,1569.0,14,30,0
2015-12-17 15:51:17.560000,385743.0,102948.0,9192.0,4696.0,6403.0,14175.0,15380.0,5380.0,26,30,0
2015-12-17 15:51:18.576000,75497.0,162383.0,16357.0,12161.0,33339.0,13786.0,14931.0,11421.0,16,23,0
2015-12-17 15:51:19.544000,188298.0,60339.0,13957.0,3628.0,4554.0,9122.0,8337.0,6037.0,24,17,0
2015-12-17 15:51:20.535000,1406740.0,1510280.0,224369.0,110186.0,30478.0,50667.0,41420.0,97341.0,14,13,0
2015-12-17 15:51:21.543000,935002.0,12158.0,11946.0,3044.0,10984.0,3229.0,3060.0,749.0,14,35,0
2015-12-17 15:51:22.522000,803422.0,232030.0,60598.0,81465.0,49141.0,60551.0,30600.0,57669.0,26,50,0
2015-12-17 15:51:23.519000,294537.0,43337.0,19015.0,7189.0,7324.0,7747.0,5062.0,5506.0,26,56,0
2015-12-17 15:51:24.528000,46765.0,12589.0,2039.0,2762.0,226.0,2136.0,937.0,1466.0,47,63,0
2015-12-17 15:51:25.517000,1041878.0,696490.0,54390.0,48185.0,77816.0,34377.0,29127.0,11611.0,35,43,0
2015-12-17 15:51:26.506000,63267.0,11398.0,2662.0,3451.0,6660.0,1191.0,3761.0,752.0,23,38,0
2015-12-17 15:51:27.513000,148347.0,54215.0,15891.0,16978.0,29094.0,8567.0,6337.0,3930.0,23,38,0
2015-12-17 15:51:28.501000,2581475.0,361504.0,6003.0,13630.0,8326.0,20249.0,12619.0,19118.0,11,16,0
2015-12-17 15:51:29.500000,971654.0,173825.0,2058.0,16565.0,43977.0,7389.0,5621.0,2749.0,11,14,0
2015-12-17 15:51:30.503000,2128311.0,534302.0,83349.0,27180.0,75357.0,26887.0,38853.0,19258.0,7,10,0
2015-12-17 15:51:31.490000,586362.0,145177.0,86987.0,6121.0,8663.0,38850.0,19782.0,9137.0,11,13,0
2015-12-17 15:51:32.483000,123980.0,112933.0,23727.0,4503.0,5270.0,5610.0,3093.0,3055.0,7,29,0
