Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2016-03-11 15:51:38.359000,216055.0,18398.0,16113.0,19146.0,10553.0,14681.0,11651.0,6867.0,43,66,0
2016-03-11 15:51:39.354000,148166.0,348025.0,11118.0,39804.0,28910.0,15040.0,14842.0,3561.0,30,54,0
2016-03-11 15:51:40.351000,387603.0,12238.0,7401.0,2350.0,7990.0,2483.0,1377.0,2731.0,40,44,0
2016-03-11 15:51:41.357000,93326.0,136210.0,9257.0,15673.0,17271.0,7470.0,4110.0,4518.0,38,50,0
2016-03-11 15:51:42.343000,228784.0,131669.0,13810.0,14908.0,10961.0,20537.0,14158.0,11528.0,34,35,0
2016-03-11 15:51:43.338000,232353.0,168309.0,24855.0,30414.0,23793.0,25858.0,7872.0,5328.0,43,41,0
2016-03-11 15:51:44.343000,81135.0,73214.0,37017.0,22773.0,9784.0,17084.0,6223.0,6409.0,43,44,0
2016-03-11 15:51:45.329000,470889.0,82688.0,54341.0,5429.0,45221.0,14573.0,9179.0,8582.0,50,53,0
2016-03-11 15:51:46.322000,2885369.0,106317.0,28711.0,30332.0,80119.0,27156.0,17701.0,16448.0,51,56,0
2016-03-11 15:51:47.319000,748643.0,81083.0,11497.0,3010.0,11006.0,3741.0,3059.0,878.0,43,53,0
2016-03-11 15:51:48.314000,75263.0,70694.0,51767.0,8290.0,28708.0,8781.0,3340.0,1859.0,38,51,0
2016-03-11 15:51:49.322000,748684.0,71929.0,10352.0,8705.0,8717.0,5054.0,1081.0,945.0,30,47,0
2016-03-11 15:51:50.320000,112845.0,108850.0,55555.0,57733.0,29106.0,27485.0,10023.0,13216.0,27,54,0
2016-03-11 15:51:51.305000,812056.0,96785.0,21157.0,19595.0,11797.0,11466.0,8228.0,2922.0,35,61,0
2016-03-11 15:51:52.293000,70686.0,70569.0,38555.0,24218.0,12144.0,38196.0,7936.0,11439.0,47,61,0
2016-03-11 15:51:53.301000,63165.0,24887.0,27078.0,12670.0,9014.0,19189.0,6097.0,4447.0,61,74,0
2016-03-11 15:51:54.280000,6024.0,7482.0,20177.0,6066.0,9918.0,16872.0,4299.0,3628.0,74,74,0
2016-03-11 15:51:55.305000,26898.0,17674.0,7603.0,32761.0,19619.0,20209.0,3519.0,5592.0,84,80,0
2016-03-11 15:51:56.284000,26642.0,91266.0,24546.0,8355.0,14124.0,8717.0,5743.0,4148.0,74,75,0
2016-03-11 15:51:57.282000,327011.0,70969.0,1185.0,45641.0,16169.0,11711.0,12124.0,5111.0,64,69,0
2016-03-11 15:51:58.264000,355215.0,119967.0,33843.0,10561.0,31825.0,13649.0,24698.0,15087.0,48,60,0
2016-03-11 15:51:59.258000,39613.0,43247.0,35094.0,13292.0,15656.0,10766.0,4492.0,10324.0,40,60,0
2016-03-11 15:52:00.265000,359143.0,47652.0,41304.0,39216.0,11266.0,10321.0,8334.0,5144.0,41,70,0
2016-03-11 15:52:01.259000,85424.0,2847.0,11585.0,6924.0,3453.0,3077.0,1995.0,1154.0,44,87,0
2016-03-11 15:52:02.242000,540736.0,41391.0,3583.0,13322.0,7535.0,2717.0,2488.0,1660.0,40,90,0
2016-03-11 15:52:03.242000,7313.0,5698.0,5460.0,5511.0,2768.0,2050.0,2263.0,1031.0,40,93,0
2016-03-11 15:52:04.244000,503961.0,8925.0,21577.0,12836.0,11922.0,10758.0,10531.0,13134.0,50,93,0
2016-03-11 15:52:05.243000,415476.0,58824.0,8049.0,46501.0,19372.0,14727.0,11060.0,2288.0,50,81,0
2016-03-11 15:52:06.243000,65008.0,60121.0,2967.0,10289.0,12015.0,7262.0,889.0,1346.0,56,75,0
2016-03-11 15:52:07.238000,362284.0,55224.0,19926.0,14627.0,9354.0,7435.0,3536.0,6879.0,53,67,0
2016-03-11 15:52:08.216000,161100.0,165843.0,18752.0,58646.0,44021.0,7783.0,5380.0,4282.0,37,56,0
2016-03-11 15:52:09.217000,412083.0,182165.0,6650.0,64405.0,24834.0,19859.0,5229.0,7638.0,30,51,0
2016-03-11 15:52:10.224000,25947.0,12527.0,28434.0,6764.0,7608.0,5080.0,2966.0,3356.0,30,70,0
2016-03-11 15:52:11.204000,67656.0,29151.0,11922.0,13433.0,15009.0,11635.0,6946.0,6917.0,40,70,0
2016-03-11 15:52:12.214000,23465.0,43998.0,48905.0,7633.0,9402.0,5118.0,17503.0,5582.0,41,80,0
2016-03-11 15:52:13.219000,172860.0,49319.0,15628.0,12990.0,23089.0,12885.0,5293.0,7269.0,48,80,0
2016-03-11 15:52:14.188000,7663.0,13498.0,15044.0,3390.0,21651.0,14023.0,6032.0,4639.0,60,67,0
2016-03-11 15:52:15.206000,6717.0,17249.0,13557.0,1619.0,9699.0,6372.0,8014.0,7887.0,60,66,0
2016-03-11 15:52:16.189000,19798.0,10301.0,9547.0,18369.0,5613.0,8978.0,3455.0,2519.0,74,67,0
2016-03-11 15:52:17.178000,88551.0,33027.0,4394.0,7932.0,24881.0,3741.0,4597.0,5620.0,66,63,0
2016-03-11 15:52:18.193000,66871.0,25931.0,15024.0,24429.0,20467.0,6889.0,4381.0,2562.0,54,69,0
2016-03-11 15:52:19.161000,116315.0,282017.0,26404.0,17313.0,22509.0,7738.0,4138.0,4259.0,38,57,0
2016-03-11 15:52:20.182000,94875.0,46907.0,5208.0,64480.0,34521.0,22047.0,4572.0,9642.0,35,54,0
2016-03-11 15:52:21.162000,232167.0,37370.0,18293.0,61505.0,37247.0,15016.0,5062.0,6321.0,40,69,0
2016-03-11 15:52:22.158000,706561.0,160716.0,31350.0,48662.0,57145.0,43504.0,4247.0,5390.0,43,61,0
2016-03-11 15:52:23.151000,131480.0,120765.0,25324.0,7209.0,46829.0,9151.0,6290.0,5487.0,50,64,0
2016-03-11 15:52:24.148000,66933.0,37923.0,7197.0,2793.0,2715.0,4638.0,2785.0,2334.0,47,53,0
2016-03-11 15:52:25.150000,456632.0,309062.0,65939.0,22445.0,47205.0,59543.0,42555.0,9707.0,48,38,0
2016-03-11 15:52:26.151000,20833.0,25851.0,30089.0,14338.0,26559.0,21752.0,16253.0,8480.0,51,44,0
2016-03-11 15:52:27.137000,742842.0,598791.0,2279.0,103924.0,62127.0,22902.0,18884.0,8663.0,48,41,0
2016-03-11 15:52:28.133000,69570.0,34973.0,22479.0,5587.0,25975.0,3657.0,2067.0,940.0,43,48,0
2016-03-11 15:52:29.141000,141858.0,14902.0,7364.0,1647.0,3039.0,2861.0,2772.0,983.0,41,54,0
2016-03-11 15:52:30.132000,676102.0,189798.0,53200.0,15877.0,19618.0,13686.0,11496.0,5273.0,26,50,0
2016-03-11 15:52:31.147000,114263.0,72829.0,4109.0,14086.0,17122.0,11270.0,10800.0,6078.0,37,51,0
2016-03-11 15:52:32.122000,315014.0,158094.0,24401.0,20301.0,24524.0,13598.0,8408.0,5928.0,38,47,0
2016-03-11 15:52:33.116000,541598.0,142994.0,43482.0,10548.0,38647.0,14982.0,14009.0,9827.0,35,41,0
2016-03-11 15:52:34.118000,159750.0,147951.0,55407.0,36088.0,18107.0,7689.0,4541.0,7069.0,30,47,0
