Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2015-11-26 17:17:40.027000,156429.0,40500.0,7771.0,2246.0,18369.0,5092.0,2582.0,2268.0,20,35,0
2015-11-26 17:17:41.024000,547484.0,81630.0,2313.0,8394.0,8097.0,22558.0,12786.0,4326.0,27,21,0
2015-11-26 17:17:41.995000,126990.0,38077.0,6372.0,6271.0,11662.0,5909.0,2758.0,1946.0,41,16,0
2015-11-26 17:17:43,720931.0,188740.0,13926.0,20734.0,48495.0,28369.0,26822.0,16272.0,41,8,0
2015-11-26 17:17:44.009000,559825.0,19165.0,3147.0,2917.0,3135.0,2024.0,477.0,343.0,40,13,0
2015-11-26 17:17:44.974000,157802.0,37973.0,3381.0,2989.0,5609.0,2294.0,1392.0,1940.0,26,14,0
2015-11-26 17:17:45.973000,16211.0,14586.0,8858.0,9337.0,9621.0,8271.0,4092.0,2496.0,34,21,0
2015-11-26 17:17:46.970000,4745.0,22019.0,12596.0,1493.0,5560.0,4884.0,3623.0,1590.0,35,30,0
2015-11-26 17:17:47.951000,9547.0,27647.0,13940.0,16660.0,6738.0,3553.0,7530.0,3829.0,30,41,0
2015-11-26 17:17:48.945000,227769.0,31221.0,20641.0,9756.0,5326.0,1776.0,3937.0,2345.0,26,54,0
2015-11-26 17:17:49.966000,21874.0,10332.0,7887.0,18563.0,9855.0,4530.0,3530.0,3284.0,20,60,0
2015-11-26 17:17:50.929000,186165.0,40293.0,16476.0,17420.0,28502.0,29810.0,5122.0,3574.0,27,57,0
2015-11-26 17:17:51.947000,336329.0,17897.0,33924.0,25402.0,14427.0,23059.0,6339.0,5962.0,43,61,0
2015-11-26 17:17:52.927000,10307.0,16774.0,23366.0,1171.0,10660.0,8398.0,3709.0,5671.0,61,60,0
2015-11-26 17:17:53.909000,18770.0,47424.0,20662.0,13136.0,12974.0,11891.0,10773.0,3351.0,63,54,0
2015-11-26 17:17:54.909000,499563.0,312517.0,42691.0,33336.0,30948.0,15404.0,7044.0,11020.0,44,51,0
2015-11-26 17:17:55.893000,1098648.0,228586.0,36726.0,30324.0,61320.0,13788.0,15007.0,8260.0,27,38,0
2015-11-26 17:17:56.893000,421010.0,168436.0,6635.0,38502.0,3635.0,9230.0,5989.0,8816.0,14,30,0
2015-11-26 17:17:57.889000,389622.0,134657.0,59145.0,19413.0,33799.0,9347.0,8516.0,4554.0,4,29,0
2015-11-26 17:17:58.883000,583263.0,90561.0,39085.0,12844.0,6648.0,9205.0,6437.0,4142.0,7,37,0
2015-11-26 17:17:59.885000,1993.0,15562.0,18785.0,15326.0,12154.0,2448.0,8891.0,4802.0,8,50,0
2015-11-26 17:18:00.882000,6288.0,14414.0,7360.0,12999.0,3171.0,3647.0,2805.0,1625.0,14,60,0
2015-11-26 17:18:01.870000,2223.0,3593.0,5358.0,3184.0,4645.0,10154.0,7328.0,2748.0,40,61,0
2015-11-26 17:18:02.847000,10143.0,8798.0,13412.0,7311.0,1730.0,9411.0,13154.0,3260.0,54,67,0
2015-11-26 17:18:03.863000,365989.0,36568.0,2534.0,3686.0,2473.0,1381.0,3058.0,3635.0,51,51,0
2015-11-26 17:18:04.849000,117066.0,7812.0,9381.0,10632.0,3705.0,1481.0,3475.0,6030.0,44,54,0
