Time,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,High_Gamma,Attention,Meditation,Signal
2016-01-14 14:17:36.095000,305023.0,67501.0,17561.0,14414.0,4309.0,2317.0,1069.0,1608.0,11,48,0
2016-01-14 14:17:37.070000,323763.0,3735.0,289.0,902.0,1441.0,582.0,962.0,321.0,24,47,0
2016-01-14 14:17:38.077000,1449531.0,146153.0,15715.0,3012.0,8041.0,6262.0,5104.0,4176.0,21,53,0
2016-01-14 14:17:39.082000,373272.0,202314.0,3791.0,12622.0,19797.0,8300.0,6580.0,1618.0,14,13,0
2016-01-14 14:17:40.058000,997061.0,72139.0,18893.0,9768.0,19670.0,19703.0,12212.0,9143.0,41,4,0
2016-01-14 14:17:41.062000,122382.0,167341.0,35017.0,10064.0,14289.0,15878.0,15034.0,13066.0,37,7,0
2016-01-14 14:17:42.046000,771177.0,141300.0,32721.0,21730.0,7901.0,16020.0,18235.0,6288.0,48,23,0
2016-01-14 14:17:43.035000,172265.0,58275.0,13071.0,4007.0,6926.0,16536.0,20448.0,10669.0,69,40,0
2016-01-14 14:17:44.053000,47872.0,35096.0,4763.0,4246.0,17852.0,10118.0,12834.0,4495.0,70,29,0
2016-01-14 14:17:45.041000,1980610.0,216162.0,22947.0,10218.0,14229.0,52746.0,12816.0,23021.0,81,21,0
2016-01-14 14:17:46.025000,32982.0,27111.0,23368.0,3770.0,4364.0,20660.0,6937.0,4329.0,100,27,0
2016-01-14 14:17:47.043000,78819.0,13617.0,396.0,2670.0,3025.0,3483.0,2039.0,1272.0,97,21,0
2016-01-14 14:17:48.017000,51497.0,13434.0,2475.0,1345.0,2016.0,2755.0,604.0,396.0,93,27,0
2016-01-14 14:17:49.010000,126924.0,200273.0,5264.0,66147.0,55650.0,18154.0,7177.0,9805.0,78,40,0
2016-01-14 14:17:50.015000,840822.0,26339.0,7980.0,10779.0,25722.0,11503.0,4495.0,1755.0,74,29,0
2016-01-14 14:17:51.007000,38607.0,41157.0,25982.0,10575.0,18243.0,27382.0,9476.0,2657.0,81,47,0
2016-01-14 14:17:52.005000,157893.0,31443.0,16625.0,6169.0,4705.0,2888.0,3313.0,1085.0,67,61,0
2016-01-14 14:17:53.005000,587158.0,54129.0,27967.0,12757.0,66093.0,18909.0,6921.0,5387.0,83,63,0
2016-01-14 14:17:53.990000,29285.0,81975.0,10155.0,31269.0,21110.0,13365.0,9164.0,10441.0,74,64,0
2016-01-14 14:17:55.001000,279200.0,160068.0,39587.0,13262.0,33836.0,50348.0,8520.0,4382.0,67,54,0
2016-01-14 14:17:55.999000,1051728.0,392171.0,98868.0,39446.0,36590.0,28554.0,14190.0,6356.0,66,47,0
